Code,Label
abk,Abkhaz
abr,Aboriginal-Australians
ace,Acehnese
acg,Achang
ach,Acholi
adi,Adivasi
adj,Adjarians
cir,Adyghe
ady,Adyghe
aar,Afar
afr,Afrikaners
ats,Agnostic/Athiest
ahm,Ahmadis
ain,Ainu
aja,Aja
aka,Akan
aku,Aku
ala,Alawi
alb,Albanian
ale,Aleut
alg,Algonquian
alt,Altay
alu,Alur
amb,Ambonese
ame,Americo-Liberians
amh,Amhara
anp,Angika speakers
pgn,Animist/Pagan
nyn,Ankole
apa,Apache
ara,Arab
ARB,Arab
arg,Aragonese
arp,Arapaho
arw,Arawak
atg,Argentinians
arm,Armenian
rup,Aromanians
twi,Ashanti
ash,Ashkenazi Jews
asa,Asian
asm,Assamese
asy,Assyrian
ast,Asturian
ata,Atacamenos
ath,Athabaskan
aus,Australians
auu,Austrians
awa,Awadhi
aym,Aymara
znd,Azande
aze,Azerbaijani
lug,Baganda
bad,Baganda
bah,Bahais
bii,Bai
bkn,Bakongo
bkw,Bakweri
bln,Balanta
ban,Balinese
blk,Balkars
bal,Baloch
bmr,Bamar
bam,Bambara
bai,Bamileke
bnt,Bantu
bny,Banyarwanda
bar,Bari
brb,Bariba
bak,Bashkirs
bas,Basoga
baq,Basque
bst,Baster
btk,Batak
bke,Bateke
bej,Beja
bel,Belarusians
bem,Bemba
ben,Bengali-Hindu
bni,Beni-Shugal-Gumez
ber,Berber
bte,Beti-Pahuin
bey,Beydan
bho,Bhojpuri
bik,Bicolano
bih,Bihari
byn,Bilen
afa,Black-African
blg,Blang
bod,Bodo
bol,Bolivia
bon,Bonan
bos,Bosniaks
brh,Brahui
bre,Breton
bra,Brijwasi
bud,Buddhist
bug,Bugis
bul,Bulgarian
brk,Burakumin
bua,Buryat
bsh,Bushmen
bou,Buyei
cab,Cabindan-Mayombe
cad,Caddo
cap,Cape Verdean
cat,Catalan
cth,Catholics
ava,Caucasian Avars
ceb,Cebuano
cht,Ch'orti'
chg,Chagatai
cmc,Cham
cha,Chamorro
che,Chechen
chr,Cherokee
chw,Chewa
nya,Chewa
chy,Cheyenne
chl,Chileans
chi,Chinese
chn,Chinook
chp,Chipewyan
cho,Choctaw
cri,Christian
chc,Chukchi
chk,Chuukese
chv,Chuvash
col,Colombian
con,Confusian
rar,Cook Islands Maori
cop,Coptic Christians
cor,Cornish
cos,Corsican
csr,Costa Ricans
cot,Cotiers
cre,Cree
crp,Creole
crh,Crimean Tatar
hrv,Croats
cus,Cushitic
cze,Czech
dai,Dai
dal,Dalit
dam,Damara
dan,Danes
dar,Dargwa
dau,Daur
day,Dayak
din,Dinka
