Category,Code,Name,Description
make public statement,01,make public statement,
make public statement,010,"make statement, not specified in other sub-categories",all public statements expressed verbally or in action not otherwise specified.
make public statement,011,decline comment,explicitly decline or refuse to comment on a situation.
make public statement,012,make pessimistic comment,"express pessimism, negative outlook."
make public statement,013,make optimistic comment,"express optimism, assurance, confidence."
make public statement,014,consider policy option,"review, reflect upon, or study policy option."
make public statement,015,acknowledge or claim responsibility,"non-apologetically claim responsibility, admit an error or wrongdoing, or retract a statement without expression of remorse."
make public statement,016,"reject accusation, deny responsibility",discard or deny accusations or charges.
make public statement,017,engage in symbolic act,"engage in symbolic activities such as holding vigils, attending funerals, and laying wreath."
make public statement,018,make empathetic comment,"express empathy, condolences, sympathy, understanding."
make public statement,019,express accord,"express common understanding, agreement, or accord."
appeal,02,appeal,
appeal,020,"make an appeal or request, not specified in other sub-categories","all requests, proposals, suggestions and appeals not otherwise specified."
appeal,021,appeal for material cooperation,"make an appeal for, request, or suggest material cooperation."
appeal,0211,appeal for economic cooperation,"make an appeal for, request, or suggest initiating or expanding economic ties."
appeal,0212,appeal for military cooperation,"make an appeal for, request, or suggest initiating or expanding military ties."
appeal,0213,appeal for judicial cooperation,"make an appeal for, request, or suggest initiating or expanding cooperation in judicial matters."
appeal,0214,appeal for intelligence cooperation,"make an appeal for, request, or suggest sharing of intelligence."
appeal,022,appeal for diplomatic cooperation (such as policy support),"make an appeal for, request, or suggest expansion of diplomatic ties or cooperation."
appeal,023,"appeal for material aid, not specified in other sub-categories","make an appeal for, request, or suggest provision of material assistance not otherwise specified."
appeal,0231,appeal for economic aid,"make an appeal for, request, or suggest economic assistance."
appeal,0232,appeal for military aid.,"make an appeal for, request, or suggest military assistance."
appeal,0233,appeal for humanitarian aid,"make an appeal for, request, or suggest humanitarian assistance."
appeal,0234,appeal for military protection or peacekeeping,"make an appeal for, request, or suggest deployment of peacekeepers or other military forces to preserve peace, enforce ceasefires, or protect civilians."
appeal,024,"appeal for political reform, not specified in other sub-categories","make an appeal for, request, or suggest political change not otherwise specified."
appeal,0241,appeal for leadership change,"make an appeal for, request, or suggest change in leadership or power."
appeal,0242,appeal for policy change,"make an appeal for, request, or suggest change in any particular policy."
appeal,0243,appeal for rights,"make an appeal for, request, or suggest provision or expansion of social, political, or other rights."
appeal,0244,"appeal for change in institutions, regime","make an appeal for, request, or suggest major institutional, constitutional, or regime change."
appeal,025,"appeal to yield, not specified in other sub-categories","make an appeal for, request, or suggest that target yields or concedes; not otherwise specified."
appeal,0251,appeal for easing of administrative sanction,"make an appeal for, request, or suggest that target relaxes administrative restrictions."
