Code,RawLabel,ProcLabel
AA00,ARUBA,Aruba
AC00,ANTIGUA AND BARBUDA,Antigua And Barbuda
AC01,Barbuda,"Barbuda, Antigua And Barbuda"
AC03,Saint George,"Saint George, Antigua And Barbuda"
AC04,Saint John,"Saint John, Antigua And Barbuda"
AC05,Saint Mary,"Saint Mary, Antigua And Barbuda"
AC06,Saint Paul,"Saint Paul, Antigua And Barbuda"
AC07,Saint Peter,"Saint Peter, Antigua And Barbuda"
AC08,Saint Philip,"Saint Philip, Antigua And Barbuda"
AC09,Redonda,"Redonda, Antigua And Barbuda"
AE00,UNITED ARAB EMIRATES,United Arab Emirates
AE01,Abu Zaby,"Abu Zaby, United Arab Emirates"
AE02,`Ajman,"Ajman, United Arab Emirates"
AE03,Dubayy,"Dubayy, United Arab Emirates"
AE04,Al Fujayrah,"Al Fujayrah, United Arab Emirates"
AE05,Ra's al Khaymah,"Ras Al Khaymah, United Arab Emirates"
AE06,Ash Shariqah,"Ash Shariqah, United Arab Emirates"
AE07,Umm al Qaywayn,"Umm Al Qaywayn, United Arab Emirates"
AF00,AFGHANISTAN,Afghanistan
AF01,Badakhshan,"Badakhshan, Afghanistan"
AF02,Badghis,"Badghis, Afghanistan"
AF03,Baghlan,"Baghlan, Afghanistan"
AF04,Balkh,"Balkh, Afghanistan"
AF05,Bamian,"Bamian, Afghanistan"
AF06,Farah,"Farah, Afghanistan"
AF07,Faryab,"Faryab, Afghanistan"
AF08,Ghazni,"Ghazni, Afghanistan"
AF09,Ghowr,"Ghowr, Afghanistan"
AF10,Helmand,"Helmand, Afghanistan"
AF11,Herat,"Herat, Afghanistan"
AF12,Jowzjan,"Jowzjan, Afghanistan"
AF13,Kabol,"Kabol, Afghanistan"
AF14,Kapisa,"Kapisa, Afghanistan"
AF15,Konar,"Konar, Afghanistan"
AF16,Laghman,"Laghman, Afghanistan"
AF17,Lowgar,"Lowgar, Afghanistan"
AF18,Nangarhar,"Nangarhar, Afghanistan"
AF19,Nimruz,"Nimruz, Afghanistan"
AF20,Oruzgan,"Oruzgan, Afghanistan"
AF21,Paktia,"Paktia, Afghanistan"
AF22,Parvan,"Parvan, Afghanistan"
AF23,Kandahar,"Kandahar, Afghanistan"
AF24,Kondoz,"Kondoz, Afghanistan"
AF25,Samangan,"Samangan, Afghanistan"
AF26,Takhar,"Takhar, Afghanistan"
AF27,Vardak,"Vardak, Afghanistan"
AF28,Zabol,"Zabol, Afghanistan"
AF29,Paktika,"Paktika, Afghanistan"
AF30,Balkh,"Balkh, Afghanistan"
AF31,Jowzjan,"Jowzjan, Afghanistan"
AF32,Samangan,"Samangan, Afghanistan"
AF33,Sar-e Pol,"Sar-E Pol, Afghanistan"
AF34,Konar,"Konar, Afghanistan"
AF35,Laghman,"Laghman, Afghanistan"
AF36,Paktia,"Paktia, Afghanistan"
AF37,Khowst,"Khowst, Afghanistan"
AF38,Nurestan,"Nurestan, Afghanistan"
AF39,Oruzgan,"Oruzgan, Afghanistan"
AF40,Parvan,"Parvan, Afghanistan"
