theme,cnt
TAX_FNCACT,1200234929
TAX_ETHNICITY,494854363
EPU_POLICY,472199839
CRISISLEX_CRISISLEXREC,454371895
TAX_WORLDLANGUAGES,422751992
UNGP_FORESTS_RIVERS_OCEANS,369754621
SOC_POINTSOFINTEREST,357977597
USPEC_POLITICS_GENERAL1,357098452
LEADER,356506059
WB_696_PUBLIC_SECTOR_MANAGEMENT,333630817
CRISISLEX_C07_SAFETY,323879876
GENERAL_HEALTH,317477631
GENERAL_GOVERNMENT,315660522
USPEC_POLICY1,300494829
WB_621_HEALTH_NUTRITION_AND_POPULATION,288719557
EPU_ECONOMY_HISTORIC,277616502
MEDICAL,275698716
EDUCATION,273050608
MEDIA_MSM,267987654
MANMADE_DISASTER_IMPLIED,265411356
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,259463971
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,235459804
WB_678_DIGITAL_GOVERNMENT,222819751
KILL,218594453
TAX_DISEASE,216415230
TAX_FNCACT_PRESIDENT,212691827
TAX_WORLDMAMMALS,208126275
EPU_POLICY_GOVERNMENT,205703424
WB_840_JUSTICE,203367545
TAX_ECON_PRICE,194207223
SECURITY_SERVICES,188977785
WB_694_BROADCAST_AND_MEDIA,182336692
CRISISLEX_C03_WELLBEING_HEALTH,181222645
WB_2433_CONFLICT_AND_VIOLENCE,175211565
ARMEDCONFLICT,174991723
TAX_FNCACT_POLICE,171227378
AFFECT,164865729
WB_135_TRANSPORT,162224617
LEGISLATION,157918149
CRISISLEX_T03_DEAD,155822817
CRISISLEX_T11_UPDATESSYMPATHY,152501555
WB_2670_JOBS,149702514
TRIAL,144963434
TAX_FNCACT_MINISTER,143846073
WB_831_GOVERNANCE,140490451
EPU_CATS_MIGRATION_FEAR_FEAR,139536797
WB_470_EDUCATION,134975584
EPU_ECONOMY,131353213
WB_1014_CRIMINAL_JUSTICE,130039638
WB_832_ANTI_CORRUPTION,125621646
WB_635_PUBLIC_HEALTH,125383959
TAX_MILITARY_TITLE,124041938
CRISISLEX_T02_INJURED,121463034
SOC_GENERALCRIME,121366546
WB_1921_PRIVATE_SECTOR_DEVELOPMENT,118162230
EPU_POLICY_LAW,113289090
WB_1406_DISEASES,113266821
TAX_FNCACT_CHILDREN,113006306
ARREST,112651451
TAX_FNCACT_DIRECTOR,112428541
WB_2024_ANTI_CORRUPTION_AUTHORITIES,109668712
TAX_FNCACT_MAN,108131168
SOC_POINTSOFINTEREST_SCHOOL,108030194
MEDIA_SOCIAL,102743164
WB_137_WATER,102696360
TAX_RELIGION,101820601
WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,101006810
EPU_POLICY_POLICY,99231343
ELECTION,98908099
WB_507_ENERGY_AND_EXTRACTIVES,95844798
SCIENCE,94070095
EPU_CATS_NATIONAL_SECURITY,93876528
TAX_FNCACT_OFFICIAL,93168204
UNGP_CRIME_VIOLENCE,89986820
WB_1803_TRANSPORT_INFRASTRUCTURE,89035253
NATURAL_DISASTER,88373540
UNGP_HEALTHCARE,87962177
WB_698_TRADE,87613466
USPEC_UNCERTAINTY1,86102123
CRISISLEX_T01_CAUTION_ADVICE,85435285
SOC_POINTSOFINTEREST_HOSPITAL,85115832
TAX_FNCACT_AUTHORITIES,83456756
TAX_WORLDMAMMALS_HUMAN,83454090
WB_2025_INVESTIGATION,82986317
TAX_FNCACT_OFFICIALS,81473097
WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY,81154827
SOC_POINTSOFINTEREST_UNIVERSITY,80560845
TAX_POLITICAL_PARTY,80174280
TAX_FNCACT_LEADER,79964377
WB_435_AGRICULTURE_AND_FOOD_SECURITY,79728507
TAX_FNCACT_WOMEN,78810625
WB_1331_HEALTH_TECHNOLOGIES,77487996
TERROR,77083365
WB_723_PUBLIC_ADMINISTRATION,76667225
TAX_FNCACT_CHIEF,76397803
TAX_FNCACT_SECRETARY,76199469
WB_1350_PHARMACEUTICALS,76015195
EPU_POLICY_POLITICAL,75275932
TAX_FNCACT_CHILD,75245188
WB_697_SOCIAL_PROTECTION_AND_LABOR,73527222
WB_2165_HEALTH_EMERGENCIES,73400676
EPU_POLICY_AUTHORITIES,72568518
DELAY,71839985
WB_895_MINING_SYSTEMS,71821169
WOUND,71667489
MILITARY,70315936
EPU_CATS_REGULATION,70039156
WB_1699_METAL_ORE_MINING,69360830
WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR,68551997
PROTEST,68521227
WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES,67759808
WB_405_BUSINESS_CLIMATE,67561355
MARITIME,66712204
TAX_FNCACT_CHAIRMAN,66433827
WB_2530_BUSINESS_ENVIRONMENT,66249472
WB_2531_INSPECTIONS_LICENSING_AND_PERMITS,65264063
MOVEMENT_GENERAL,65210991
TAX_FNCACT_EXECUTIVE,65192851
WB_2490_NATIONAL_PROTECTION_AND_SECURITY,64548265
WB_2689_JOBS_DIAGNOSTICS,64345918
TAX_FNCACT_CITIZENS,63934968
CRISISLEX_C04_LOGISTICS_TRANSPORT,63666579
TAX_FNCACT_WOMAN,62718979
TAX_WEAPONS,62339481
